time,lat,long,mag,deep,location
2017/6/9 23:33,33.44,88.12,3.4,8,西藏那曲地区双湖县
2017/6/10 10:04,40.98,74.81,3,8,吉尔吉斯斯坦
2017/6/12 0:28,20.15,110.07,2.3,15,广东湛江市徐闻县海域
2017/6/12 20:28,38.96,26.24,6.4,10,爱琴海
2017/6/12 23:31,22.85,101.82,3.4,5,云南红河州绿春县
2017/6/13 2:50,47.34,121.52,3,15,内蒙古呼伦贝尔市扎兰屯市
2017/6/14 3:38,33.54,91.2,4.8,11,青海省海西州唐古拉地区
2017/6/14 14:04,33.58,91.18,3.8,10,青海省海西州唐古拉地区
2017/6/14 15:29,15.11,-91.8,7.1,100,危地马拉
2017/6/15 7:04,38.18,76.86,3.1,8,新疆喀什地区莎车县
2017/6/16 9:49,43.58,87.95,2.2,6,新疆乌鲁木齐市达坂城区（有感）
2017/6/16 19:48,31.06,110.48,4.3,8,湖北宜昌市秭归县
2017/6/17 5:43,29.81,95.08,3.2,7,西藏林芝市巴宜区
2017/6/18 14:09,33.57,91.18,3.8,10,青海省海西州唐古拉地区
2017/6/18 15:46,42.61,79.6,3.1,7,哈萨克斯坦
2017/6/18 16:33,38.09,120.75,3.2,7,山东烟台市长岛县海域
2017/6/18 17:39,31.04,110.46,4.1,7,湖北恩施州巴东县
2017/6/19 15:31,33.78,93.45,3.3,10,青海玉树州治多县
2017/6/20 8:28,38.08,120.75,3,7,山东烟台市长岛县海域
2017/6/20 19:22,31.98,94.96,3.1,6,西藏昌都市丁青县
2017/6/21 9:05,26.17,100.56,2.8,9,云南丽江市永胜县
2017/6/21 15:25,24.72,121.84,3.9,11,台湾宜兰县海域
2017/6/21 22:17,31.03,103.23,2.9,18,四川阿坝州汶川县
2017/6/22 3:41,38.4,73.48,4.7,15,塔吉克斯坦
2017/6/22 11:57,36.46,83.82,3.1,7,新疆和田地区民丰县
2017/6/22 20:31,13.75,-91,6.8,40,危地马拉沿岸近海
2017/6/23 15:58,41.31,83.7,3,9,新疆阿克苏地区库车县
2017/6/24 20:08,23.74,103.33,3.2,8,云南红河州开远市
2017/6/25 3:47,37.23,77.86,3.3,8,新疆和田地区皮山县
2017/6/25 5:45,33.07,94.12,3.1,10,青海玉树州杂多县
2017/6/25 11:23,41.3,83.85,3.3,15,新疆阿克苏地区库车县
2017/6/26 8:39,39.65,73.54,4,7,吉尔吉斯斯坦
2017/6/26 8:47,28.16,104.67,3.6,14,四川宜宾市筠连县
2017/6/26 15:35,36.43,83.9,3.3,7,新疆和田地区民丰县
2017/6/26 19:31,41.86,79.33,3,8,吉尔吉斯斯坦
2017/6/28 18:39,42.2,81.71,3,8,新疆阿克苏地区拜城县
2017/6/29 3:46,40.25,77.76,3.1,7,新疆克孜勒苏州阿图什市
2017/6/30 7:07,39.36,73.27,3,9,吉尔吉斯斯坦
2017/6/30 22:36,44.89,81.66,3,20,新疆博尔塔拉州博乐市
2017/7/1 6:29,-0.26,-80.46,6,10,厄瓜多尔沿岸近海
2017/7/2 3:40,27.08,103.24,2.9,8,云南昭通市巧家县
2017/7/2 5:59,23.23,101.38,2.9,5,云南普洱市墨江县
2017/7/2 9:58,27.23,86.4,4.2,10,尼泊尔
2017/7/2 14:34,25.12,101.71,4.1,5,云南楚雄州禄丰县
2017/7/2 21:01,31.89,94.96,3.3,7,西藏昌都市丁青县
2017/7/3 18:04,43.98,87.07,3.1,7,新疆昌吉州昌吉市
2017/7/4 9:03,46.55,119.16,3.3,15,内蒙古锡林郭勒盟东乌珠穆沁旗
2017/7/4 12:25,39.45,73.25,3.9,8,吉尔吉斯斯坦
2017/7/4 13:24,39.48,118.4,2.2,5,河北唐山市丰南区
2017/7/4 23:39,39.29,118.83,2.5,18,河北唐山市乐亭县
2017/7/6 16:03,11.18,124.65,6.6,10,菲律宾
2017/7/7 22:54,37.49,78.06,3,20,新疆和田地区皮山县
2017/7/9 3:40,43.77,87.64,2.8,6,新疆乌鲁木齐市天山区(有感)
2017/7/9 15:59,29.09,95.8,3.9,7,西藏林芝市墨脱县
2017/7/10 2:09,27.07,102.27,2.9,10,四川凉山州会理县
2017/7/10 3:33,39.65,82.76,3.2,15,新疆阿克苏地区沙雅县
2017/7/11 6:05,38.94,75.46,3.8,8,新疆克孜勒苏州阿克陶县
2017/7/11 15:00,-49.19,164.18,6.6,10,新西兰奥克兰群岛地区
2017/7/11 17:47,41.87,123.96,2.5,0,辽宁抚顺市新抚区（矿震）
2017/7/12 7:07,24.47,122.46,2.9,50,台湾宜兰县海域
2017/7/12 18:38,21.99,101.17,3,9,云南西双版纳州景洪市
2017/7/12 18:42,37.68,101.57,3.9,9,青海海北州门源县
2017/7/13 3:48,40.8,131.7,6.2,520,日本海
2017/7/13 11:36,-4.8,153.15,6.4,40,新爱尔兰地区
2017/7/13 22:03,23.33,100.52,3.6,5,云南普洱市景谷县
2017/7/14 5:04,36.6,122.1,3.4,7,山东威海市荣成市海域
2017/7/14 6:18,36.57,122.09,3,9,山东威海市荣成市海域
2017/7/15 1:41,24.82,107.34,4,6,广西河池市南丹县
2017/7/15 1:51,44.04,84.71,3,24,新疆塔城地区乌苏市
2017/7/15 12:53,43.92,84.5,3,8,新疆塔城地区乌苏市
2017/7/16 0:56,30.67,82.73,3.6,5,西藏日喀则市仲巴县
2017/7/17 1:06,-20.41,-173.5,5.8,10,汤加群岛
2017/7/17 6:55,32.38,105.36,4.9,21,四川广元市青川县
2017/7/17 9:20,-20.32,-173.54,5.9,10,汤加群岛
2017/7/17 19:05,54.54,168.82,6.3,10,科曼多尔群岛地区
2017/7/18 7:34,54.36,168.95,7.8,10,科曼多尔群岛地区
2017/7/18 7:59,40.78,78.76,3.7,7,新疆阿克苏地区柯坪县
2017/7/18 10:05,-16.29,-73.74,6.3,30,秘鲁沿岸近海
2017/7/18 20:57,36.58,122.09,2.6,7,山东威海市荣成市海域
2017/7/19 16:47,28.65,106.72,2.6,11,重庆綦江区（有感）
2017/7/19 22:17,41.89,82.54,3.3,8,新疆阿克苏地区拜城县
2017/7/20 16:12,41.31,83.82,3.2,8,新疆阿克苏地区库车县
2017/7/20 17:37,32.42,105.36,3,23,四川广元市青川县
2017/7/21 6:31,36.9,27.53,6.8,10,土耳其
2017/7/22 18:59,41.97,82.45,3,8,新疆阿克苏地区拜城县
2017/7/22 23:15,42.12,85.74,3.1,8,新疆巴音郭楞州焉耆县
2017/7/23 7:13,45.3,124.81,4.9,12,吉林松原市宁江区
2017/7/23 18:36,41.14,75.31,4.2,8,吉尔吉斯斯坦
2017/7/23 18:43,40.01,77.85,3.1,7,新疆克孜勒苏州阿图什市
2017/7/25 5:46,41.71,88.51,4,7,新疆吐鲁番市托克逊县
2017/7/25 11:43,31.12,110.07,3.3,4,重庆巫山县
2017/7/26 4:49,32.12,104.5,2.9,20,四川绵阳市平武县
2017/7/26 12:26,35.78,76.2,3.4,8,克什米尔地区
2017/7/27 1:45,26.98,100.78,2.9,5,云南丽江市宁蒗县
2017/7/27 12:52,38.23,74.23,3.4,167,塔吉克斯坦
2017/7/27 13:15,22.73,101.2,2.9,13,云南普洱市思茅区
