year,day,dayTran,time,lat,long,mag,deep,location
2018,4/9,43199,9:58:22,32.24,83.45,3.8,6,西藏阿里地区改则县
2018,4/10,43200,3:47:25,40.67,120.28,1.9,10,辽宁葫芦岛市兴城市
2018,4/10,43200,12:31:27,31.74,104.3,2.6,28,四川绵阳市安州区
2018,4/10,43200,12:51:26,21.93,101.37,3.1,5,云南西双版纳州勐腊县
2018,4/10,43200,16:47:03,42.33,119.89,3.1,10,内蒙古赤峰市敖汉旗
2018,4/10,43200,18:19:32,-30.96,-71.51,6,50,智利
2018,4/11,43201,6:26:50,28.57,106.71,2.1,10,重庆綦江区（有感）
2018,4/11,43201,19:53:36,35.62,117.76,3.1,10,山东临沂市平邑县
2018,4/12,43202,8:06:02,44.63,124.15,2.3,10,吉林松原市前郭尔罗斯县
2018,4/12,43202,18:41:49,40.47,77.2,4.6,6,新疆克孜勒苏州阿图什市
2018,4/13,43203,0:24:49,35.25,89.77,3.5,9,青海玉树州治多县
2018,4/13,43203,15:08:46,41.34,83.85,3,10,新疆阿克苏地区库车县
2018,4/13,43203,18:16:53,31.03,103.21,3.3,22,四川阿坝州汶川县
2018,4/15,43205,5:55:11,37.41,113.57,2.1,0,山西晋中市和顺县（塌陷）
2018,4/15,43205,12:37:03,26.35,99.99,2.8,13,云南大理州洱源县
2018,4/15,43205,17:44:38,39.16,114.48,1.4,0,河北保定市涞源县（爆破）
2018,4/15,43205,22:46:32,29.36,105.43,2.9,8,重庆荣昌区
2018,4/16,43206,2:08:06,39.45,116.73,2.3,18,河北廊坊市安次区
2018,4/16,43206,3:23:43,32.95,84.99,3.1,11,西藏阿里地区改则县
2018,4/16,43206,21:48:59,23.05,121.37,4.4,18,台湾台东县海域
2018,4/16,43206,23:47:31,39.77,74.31,3.8,8,新疆克孜勒苏州乌恰县
2018,4/20,43210,5:09:17,-42.77,42.19,5.9,10,爱德华王子群岛地区
2018,4/21,43211,0:02:11,39.3,93.39,3.4,12,甘肃酒泉市阿克塞县
2018,4/21,43211,5:14:27,31.72,104.14,3.2,14,四川阿坝州茂县
2018,4/21,43211,18:56:54,23.11,121.66,4,8,台湾台东县海域
2018,4/23,43213,1:46:37,45.26,124.74,3.4,14,吉林松原市宁江区
2018,4/23,43213,3:16:00,35.23,87.93,4.1,7,西藏那曲市双湖县
2018,4/23,43213,7:39:25,38.67,73.08,4.3,11,塔吉克斯坦
2018,4/24,43214,1:10:31,23.91,122.45,4.2,15,台湾花莲县海域
2018,4/25,43215,9:15:07,39.97,77.03,3.2,57,新疆克孜勒苏州阿图什市
